CHAN_2,CHAN_26,CHAN_80,ORI,GRID
-74.200000,-65.600000,-58.000000,1,0
-62.100000,-56.200000,-64.400000,0,0
-63.800000,-57.600000,-59.200000,3,0
-62.400000,-68.500000,-60.000000,2,0
-56.800000,-58.500000,-58.200000,1,1
-54.500000,-53.200000,-55.000000,0,1
-64.100000,-66.000000,-66.900000,3,1
-58.700000,-60.200000,-62.000000,2,1
-57.600000,-56.900000,-59.200000,1,2
-52.000000,-50.800000,-51.000000,0,2
-68.800000,-69.600000,-59.000000,3,2
-60.200000,-57.300000,-58.900000,2,2
-50.300000,-48.400000,-47.900000,1,3
-50.600000,-48.900000,-52.700000,0,3
-54.300000,-50.300000,-52.200000,3,3
-50.300000,-47.700000,-47.500000,2,3
-45.000000,-45.000000,-45.000000,1,4
-45.000000,-45.000000,-45.200000,0,4
-45.000000,-45.000000,-45.000000,3,4
-45.000000,-45.000000,-45.000000,2,4
-62.900000,-76.800000,-60.900000,1,5
-72.700000,-65.200000,-62.300000,0,5
-61.100000,-73.900000,-68.100000,3,5
-58.900000,-68.300000,-67.700000,2,5
-68.800000,-65.600000,-68.600000,1,6
-61.500000,-56.700000,-64.100000,0,6
-74.200000,-65.100000,-66.600000,3,6
-67.300000,-70.900000,-65.300000,2,6
-63.900000,-57.800000,-57.100000,1,7
-67.200000,-55.300000,-63.100000,0,7
-56.900000,-50.800000,-55.700000,3,7
-55.600000,-52.400000,-56.200000,2,7
-59.200000,-59.400000,-67.900000,1,8
-54.800000,-51.900000,-55.000000,0,8
-54.100000,-50.900000,-51.400000,3,8
-54.100000,-54.700000,-52.100000,2,8
-45.900000,-45.400000,-47.900000,1,9
-48.000000,-46.900000,-47.600000,0,9
-55.900000,-52.700000,-54.400000,3,9
-53.500000,-57.800000,-53.700000,2,9
-57.700000,-55.500000,-64.100000,1,10
-60.400000,-59.600000,-63.200000,0,10
-65.200000,-67.800000,-67.800000,3,10
-61.000000,-73.500000,-58.500000,2,10
-60.600000,-64.100000,-64.400000,1,11
-61.000000,-59.300000,-60.600000,0,11
-65.300000,-71.000000,-69.800000,3,11
-67.900000,-69.000000,-71.600000,2,11
-55.800000,-61.800000,-60.900000,1,12
-66.100000,-73.500000,-69.800000,0,12
-59.600000,-59.500000,-62.800000,3,12
-58.000000,-55.800000,-53.600000,2,12
-70.300000,-62.700000,-56.400000,1,13
-59.900000,-61.100000,-58.700000,0,13
-63.500000,-56.400000,-75.100000,3,13
-57.000000,-56.500000,-61.400000,2,13
-52.000000,-52.600000,-54.600000,1,14
-68.200000,-66.300000,-54.000000,0,14
-54.200000,-57.000000,-60.600000,3,14
-55.100000,-57.800000,-57.100000,2,14
-62.900000,-69.500000,-66.700000,1,15
-68.100000,-63.000000,-70.200000,0,15
-62.400000,-62.100000,-72.300000,3,15
-59.900000,-59.700000,-67.400000,2,15
-61.200000,-59.900000,-60.300000,1,16
-59.500000,-60.500000,-70.500000,0,16
-61.900000,-62.500000,-64.200000,3,16
-55.800000,-57.600000,-59.200000,2,16
-65.300000,-59.000000,-61.100000,1,17
-59.400000,-65.100000,-71.000000,0,17
-71.600000,-77.800000,-63.200000,3,17
-64.300000,-63.000000,-58.800000,2,17
-58.900000,-57.000000,-59.500000,1,18
-68.000000,-60.400000,-63.000000,0,18
-63.400000,-65.200000,-55.300000,3,18
-70.300000,-55.100000,-58.900000,2,18
-66.100000,-69.400000,-60.300000,1,19
-70.700000,-63.800000,-61.200000,0,19
-60.900000,-62.200000,-67.900000,3,19
-67.500000,-74.500000,-60.300000,2,19
-62.900000,-56.900000,-56.100000,1,20
-71.100000,-61.900000,-60.900000,0,20
-61.600000,-67.300000,-69.300000,3,20
-66.200000,-68.200000,-66.000000,2,20
-59.300000,-56.600000,-66.800000,1,21
-75.900000,-75.800000,-67.900000,0,21
-64.100000,-59.400000,-65.500000,3,21
-63.400000,-65.300000,-68.200000,2,21
-67.800000,-61.300000,-59.200000,1,22
-69.400000,-62.200000,-75.100000,0,22
-68.300000,-71.600000,-78.500000,3,22
-68.600000,-67.600000,-61.500000,2,22
-62.400000,-63.100000,-56.400000,1,23
-68.400000,-60.500000,-57.100000,0,23
-64.400000,-55.200000,-61.600000,3,23
-61.200000,-58.600000,-63.000000,2,23
-68.400000,-60.400000,-62.400000,1,24
-60.900000,-72.200000,-62.000000,0,24
-60.700000,-61.500000,-64.900000,3,24
-56.900000,-54.900000,-56.000000,2,24